cityName,NAME3,wardName,wardNo,totalHouseholds
wuhan,HongShanQu,DongHuKaiFaQuZuoLingZhen,1,10372
wuhan,QingShanQu,GongRenCunJieDaoBanShiChu,2,5299
wuhan,HongShanQu,HePingJieDaoBanShiChu,3,40400
wuhan,XinZhouQu,FengHuangZhen,4,8689
wuhan,JiangHanQu,MinYiJieBanShiChu,5,13375
wuhan,JiangXiaQu,ZhiFangJieBanShiChu,6,70934
wuhan,JiangAnQu,XiMaJieBanShiChu,7,23081
wuhan,JiangHanQu,QianJinJieBanShiChu,8,13297
wuhan,HongShanQu,LuoNanJieDao,9,86408
wuhan,WuChangQu,ShiDongJieBanShiChu,10,2497
wuhan,HongShanQu,TianXingXiang,11,1261
wuhan,HanYangQu,YingWuJieBanShiChu,12,19465
wuhan,QingShanQu,XinGouQiaoJieDaoBanShiChu,13,20584
wuhan,JiangHanQu,ManChunJieBanShiChu,14,8947
wuhan,QingShanQu,WuGangChangQu,15,105
wuhan,XinZhouQu,LiJiJieDaoBanShiChu,16,17419
wuhan,DongXiHuQu,ZouMaLingJieDaoBanShiChu,17,10021
wuhan,JiangXiaQu,ShuAnXiang,18,3338
wuhan,JiangXiaQu,DongHuKaiFaQuLiuFangJieBanShiChu,19,5372
wuhan,HanYangQu,QingChuanJieBanShiChu,20,6422
wuhan,JiangXiaQu,DongHuKaiFaQuBaoXieBanShiChu,21,9215
wuhan,JiangAnQu,ErQiJieBanShiChu,22,30470
wuhan,HanYangQu,JiangDiJieBanShiChu,23,9179
wuhan,DongXiHuQu,CiHuiJieDaoBanShiChu,24,6135
wuhan,JiangHanQu,HanXingJieBanShiChu,25,56461
wuhan,HuangBeiQu,QiJiaWanJieDao,26,24068
wuhan,CaiDianQu,ZhuRuJieBanShiChu,27,17734
wuhan,WuChangQu,LiangDaoJieBanShiChu,28,24246
wuhan,JiangAnQu,DanShuiChiJieBanShiChu,29,21647
wuhan,DongXiHuQu,ChangQingJieDaoBanShiChu,30,15607
wuhan,JiangXiaQu,HuSiZhen,31,5122
wuhan,HanYangQu,JianQiaoJieBanShiChu,32,17597
wuhan,QiaoKouQu,RongHuaJieDaoBanShiChu,33,18958
wuhan,HanNanQu,DengNanJieDaoBanShiChu,34,5130
wuhan,JiangAnQu,BaiBuTingHuaYuan,35,16448
wuhan,JiangXiaQu,JinKouJieBanShiChu,36,19696
wuhan,WuChangQu,NanHuJieBanShiChu,37,19709
wuhan,JiangAnQu,HouHuJieBanShiChu,38,51443
wuhan,HanYangQu,JiangHanErQiaoJieBanShiChu,39,28480
wuhan,HongShanQu,HongShanJieDaoBanShiChu,40,61828
wuhan,XinZhouQu,XinChongZhen,41,20640
wuhan,DongXiHuQu,JiangJunLuJieDaoBanShiChu,42,15836
wuhan,QingShanQu,GangHuaCunJieDaoBanShiChu,43,28938
wuhan,JiangXiaQu,FaSiZhen,44,6363
wuhan,HuangBeiQu,LiJiaJiJieDao,45,26305
wuhan,XinZhouQu,ShuangLiuJieDaoBanShiChu,46,18498
wuhan,XinZhouQu,ZhangDuHuNongChang,47,2872
wuhan,QingShanQu,BaiYuShanJieDaoBanShiChu,48,14128
wuhan,CaiDianQu,YongAnJieBanShiChu,49,10113
wuhan,XinZhouQu,ZhuChengJieDaoBanShiChu,50,60568
wuhan,WuChangQu,ZhongHuaLuJieBanShiChu,51,16586
wuhan,JiangXiaQu,AnShanZhen,52,4985
wuhan,CaiDianQu,CaiDianJingJiKaiFaQuChangFuBanShiChu,53,2610
wuhan,XinZhouQu,YangLuoKaiFaQu,54,5517
wuhan,HuangBeiQu,TianHeJieDao,55,9652
wuhan,JiangHanQu,ShuiTaJieBanShiChu,56,0
wuhan,WuChangQu,ZiYangJieBanShiChu,57,22909
wuhan,CaiDianQu,CaiDianJingJiKaiFaQuWenLingBanShiChu,58,309
wuhan,JiangAnQu,LaoDongJieBanShiChu,59,26947
wuhan,WuChangQu,ShuiGuoHuJieBanShiChu,60,66938
wuhan,HuangBeiQu,QianChuanJieDao,61,71566
wuhan,DongXiHuQu,DongShanBanShiChu,62,5413
wuhan,WuChangQu,ZhongNanLuJieBanShiChu,63,81024
wuhan,HuangBeiQu,MuLanShanFengJingQu,64,586
wuhan,HanYangQu,QinDuanKouJieBanShiChu,65,25072
wuhan,CaiDianQu,JunShanJieBanShiChu,66,9942
wuhan,XinZhouQu,JiuJieJieDaoBanShiChu,67,23926
wuhan,HongShanQu,LiYuanJieJieDao,68,8388
wuhan,CaiDianQu,SuoHeZhen,69,8073
wuhan,JiangAnQu,SiWeiJieBanShiChu,70,12079
wuhan,QiaoKouQu,HanZhengJieDaoBanShiChu,71,42710
wuhan,CaiDianQu,XiaoSiXiang,72,4965
wuhan,HongShanQu,DongHuKaiFaQuGuanDongJieBanShiChu,73,70823
wuhan,JiangAnQu,YongQingJieBanShiChu,74,6949
wuhan,QiaoKouQu,LiuJiaoTingJieDaoBanShiChu,75,17344
wuhan,JiangHanQu,HuaLouJieBanShiChu,76,3308
wuhan,HanYangQu,YongFengJieBanShiChu,77,39902
wuhan,HuangBeiQu,YaoJiaJiJieDao,78,12617
wuhan,HuangBeiQu,MuLanXiang,79,11256
wuhan,XinZhouQu,XuGuZhen,80,11641
wuhan,JiangAnQu,QiuChangJieBanShiChu,81,9795
wuhan,HongShanQu,DongHuKaiFaQuJiuFengXiang,82,4694
wuhan,HanNanQu,ShaMaoJieDaoBanShiChu,83,26877
wuhan,JiangAnQu,ChenJiaJiJieBanShiChu,84,6069
wuhan,DongXiHuQu,XinAnDuBanShiChu,85,4729
wuhan,HongShanQu,QingLingXiang,86,29946
wuhan,XinZhouQu,XinZhouYuanZhongChang,87,194
wuhan,CaiDianQu,CaiDianJingJiKaiFaQuYaoJiaShanBanShiChu,88,3439
wuhan,HongShanQu,WuHanHuaGongQuQingTanHuBanShiChu,89,2412
wuhan,JiangXiaQu,DongHuKaiFaQuFoZuLingBanShiChu,90,35334
wuhan,JiangHanQu,TangJiaDunJieBanShiChu,91,40326
wuhan,DongXiHuQu,BaiQuanBanShiChu,92,3523
wuhan,CaiDianQu,DunKouJieBanShiChu,93,68042
wuhan,XinZhouQu,SanDianJieDaoBanShiChu,94,25419
wuhan,HongShanQu,GuanShanJieDao,95,117703
wuhan,XinZhouQu,YangLuoJieDaoBanShiChu,96,58518
wuhan,QiaoKouQu,BaoFengJieDaoBanShiChu,97,21227
wuhan,HanNanQu,XiangKouJieDaoBanShiChu,98,5843
wuhan,QingShanQu,WuDongJieDaoBanShiChu,99,9463
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuCangLongDaoBanShiChu,100,36527
wuhan,HuangBeiQu,CaiDianXiang,101,12278
wuhan,JiangAnQu,YiYuanJieBanShiChu,102,9303
wuhan,WuChangQu,XuJiaPengJieBanShiChu,103,46436
wuhan,QiaoKouQu,HanShuiQiaoJieDaoBanShiChu,104,26897
wuhan,HongShanQu,ShiZiShanJieDao,105,37194
wuhan,XinZhouQu,WangJiJieDaoBanShiChu,106,24920
wuhan,HanYangQu,SiXinDiQuGuanWeiHui,107,922
wuhan,CaiDianQu,HongBeiGuanWeiHui,108,1343
wuhan,CaiDianQu,CaiDianJingJiKaiFaQuDunKouBanShiChu,109,4923
wuhan,HuangBeiQu,SanLiZhen,110,5895
wuhan,XinZhouQu,LongWangJuNongChang,111,1261
wuhan,DongXiHuQu,WuJiaShanJieDaoBanShiChu,112,43120
wuhan,QiaoKouQu,HanZhongJieDaoBanShiChu,113,11091
wuhan,XinZhouQu,PanTangJieDaoBanShiChu,114,10889
wuhan,JiangXiaQu,ShanPoXiang,115,10922
wuhan,JiangAnQu,DaZhiJieBanShiChu,116,13148
wuhan,HanYangQu,CuiWeiJieBanShiChu,117,16686
wuhan,QingShanQu,GangDouHuaYuanGuanWeiHui,118,14959
wuhan,HuangBeiQu,WuHuJieDao,119,13352
wuhan,HongShanQu,DongHuKaiFaQuHuaShanZhen,120,8340
wuhan,JiangHanQu,WanSongJieBanShiChu,121,31118
wuhan,HuangBeiQu,LiuZhiJieDao,122,23423
wuhan,HuangBeiQu,SheKouJieDao,123,16108
wuhan,CaiDianQu,ZhangWanJieBanShiChu,124,10745
wuhan,WuChangQu,LuoJiaShanJieBanShiChu,125,28153
wuhan,JiangAnQu,CheZhanJieBanShiChu,126,9394
wuhan,DongXiHuQu,ChangQingHuaYuanXinQuGuanLiWeiYuanHui,127,20742
wuhan,HanYangQu,YueHuJieBanShiChu,128,7848
wuhan,JiangHanQu,XinHuaJieBanShiChu,129,15276
wuhan,DongXiHuQu,XinGouZhenJieDaoBanShiChu,130,6684
wuhan,JiangXiaQu,ZhengDianJieBanShiChu,131,13853
wuhan,JiangAnQu,ShangHaiJieBanShiChu,132,9527
wuhan,JiangHanQu,MinZuJieBanShiChu,133,14498
wuhan,DongXiHuQu,TaiShangGongYeYuanQuGuanLiWeiYuanHui,134,1676
wuhan,QiaoKouQu,ChangFengJieDaoBanShiChu,135,67135
wuhan,HuangBeiQu,LuoHanSiJieDao,136,18659
wuhan,HanNanQu,DongJingJieDaoBanShiChu,137,5232
wuhan,QingShanQu,ChangQianJieDaoBanShiChu,138,3732
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuLiangZiHuFengJingQuBanShiChu,139,1416
wuhan,HongShanQu,DongHuFengJingQuJieDao(HongShan),140,19902
wuhan,JiangHanQu,ChangQingJieBanShiChu,141,32558
wuhan,CaiDianQu,ZhaShanJieBanShiChu,142,17240
wuhan,HongShanQu,ZhangJiaWanJieDao,143,10128
wuhan,WuChangQu,JiYuQiaoJieBanShiChu,144,22605
wuhan,QingShanQu,BeiHuGuanWeiHui,145,2318
wuhan,HanYangQu,ZhouTouJieBanShiChu,146,14572
wuhan,JiangXiaQu,WuLongQuanJieBanShiChu,147,11817
wuhan,CaiDianQu,YuXianZhen,148,5777
wuhan,XinZhouQu,DaoGuanHeFengJingLvYouGuanLiChu,149,1792
wuhan,QiaoKouQu,YiJiaDunJieDaoBanShiChu,150,32462
wuhan,WuChangQu,BaiShaZhouJieBanShiChu,151,28564
wuhan,CaiDianQu,TongHuBanShiChu,152,867
wuhan,QingShanQu,YeJinJieDaoBanShiChu,153,29561
wuhan,JiangXiaQu,DongHuKaiFaQuDaWuChenBanShiChu,154,4520
wuhan,CaiDianQu,CaiDianJieBanShiChu,155,54763
wuhan,HongShanQu,WuHanHuaGongQuJianSheXiang,156,11169
wuhan,CaiDianQu,DaJiJieBanShiChu,157,11066
wuhan,QiaoKouQu,ChongRenJieDaoBanShiChu,158,13500
wuhan,QiaoKouQu,ZongGuanJieDaoBanShiChu,159,24226
wuhan,HuangBeiQu,WangJiaHeJieDao,160,16945
wuhan,HanYangQu,WuLiDunJieBanShiChu,161,32731
wuhan,WuChangQu,DongHuFengJingQuJieDao(WuChang),162,5445
wuhan,JiangHanQu,BeiHuJieBanShiChu,163,14153
wuhan,QiaoKouQu,HanJiaDunJieDaoBanShiChu,164,35352
wuhan,JiangAnQu,XinCunJieBanShiChu,165,25825
wuhan,HuangBeiQu,ChangXuanLingJieDao,166,12051
wuhan,WuChangQu,HuangHeLouJieBanShiChu,167,22824
wuhan,HuangBeiQu,CaiJiaZhaJieDao,168,9828
wuhan,QingShanQu,HongWeiLuJieDaoBanShiChu,169,30854
wuhan,JiangHanQu,MinQuanJieBanShiChu,170,13635
wuhan,DongXiHuQu,JingHeJieDaoBanShiChu,171,13841
wuhan,WuChangQu,YangYuanJieBanShiChu,172,41028
wuhan,JiangXiaQu,JinShuiBanShiChu,173,2037
wuhan,JiangXiaQu,WuLiJieJieBanShiChu,174,9658
wuhan,QingShanQu,QingShanZhenJieDaoBanShiChu,175,7791
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuMiaoShanBanShiChu,176,20205
wuhan,JiangAnQu,HuaQiaoJieBanShiChu,177,49176
wuhan,WuChangQu,ShouYiLuJieBanShiChu,178,26067
wuhan,QingShanQu,HongGangChengJieDaoBanShiChu,179,14237
wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuDaQiaoXinQuBanShiChu,180,24765
wuhan,HuangBeiQu,HengDianJieDao,181,19856
wuhan,HuangBeiQu,DaTanBanShiChu,182,1232
wuhan,DongXiHuQu,JinYinHuJieDaoBanShiChu,183,22068
wuhan,XinZhouQu,CangBuJieDaoBanShiChu,184,25293
wuhan,HuangBeiQu,PanLongChengJingJiKaiFaQu,185,22187
wuhan,JiangAnQu,TaiBeiJieBanShiChu,186,14439
